County,Population
Polk,"467,711"
Linn,"219,916"
Scott,"172,126"
Johnson,"144,251"
Black Hawk,"133,455"
Woodbury,"102,782"
Dubuque,"97,125"
Story,"96,021"
Pottawattamie,"93,671"
Dallas,"80,133"
Warren,"48,626"
Clinton,"47,768"
Cerro Gordo,"43,017"
Muscatine,"43,011"
Marshall,"40,746"
Des Moines,"40,055"
Webster,"37,071"
Jasper,"36,827"
Wapello,"35,173"
Lee,"35,089"
Sioux,"34,937"
Marion,"33,294"
Boone,"26,643"
Benton,"25,658"
Plymouth,"24,800"
Bremer,"24,722"
Mahaska,"22,324"
Washington,"22,247"
Buchanan,"21,062"
Winneshiek,"20,709"
Carroll,"20,498"
Buena Vista,"20,493"
Jones,"20,466"
Fayette,"20,257"
Henry,"19,950"
Jackson,"19,444"
Poweshiek,"18,550"
Cedar,"18,340"
Clayton,"17,644"
Jefferson,"17,555"
Delaware,"17,403"
Hardin,"17,367"
Tama,"17,337"
Dickinson,"17,111"
Crawford,"17,094"
Clay,"16,507"
Iowa,"16,401"
Floyd,"15,960"
Madison,"15,753"
Page,"15,527"
Hamilton,"15,190"
Kossuth,"15,165"
Butler,"14,915"
Mills,"14,844"
Harrison,"14,265"
O'Brien,"13,984"
Allamakee,"13,886"
Cass,"13,427"
Wright,"12,773"
Appanoose,"12,529"
Union,"12,469"
Grundy,"12,435"
Chickasaw,"12,097"
Shelby,"11,927"
Lyon,"11,745"
Cherokee,"11,574"
Louisa,"11,185"
Hancock,"10,974"
Mitchell,"10,832"
Guthrie,"10,676"
Winnebago,"10,609"
Franklin,"10,295"
Montgomery,"10,234"
Keokuk,"10,163"
Sac,"10,021"
Calhoun,"9,818"
Emmet,"9,769"
Humboldt,"9,555"
Howard,"9,410"
Clarke,"9,259"
PaloAlto,"9,133"
Greene,"9,027"
Monona,"8,979"
Davis,"8,769"
Lucas,"8,682"
Decatur,"8,220"
Monroe,"7,973"
Worth,"7,569"
VanBuren,"7,344"
Adair,"7,228"
Ida,"7,028"
Pocahontas,"7,008"
Fremont,"6,906"
Wayne,"6,385"
Taylor,"6,205"
Osceola,"6,154"
Audubon,"5,773"
Ringgold,"5,068"
Adams,"3,796"
