int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
0.1189,11.35040654,19.48,737,5639.958333,0,0,0
0.1071,11.08214255,14.29,707,2760,0,0,0
0.1357,10.37349118,11.63,682,4710,1,0,0
0.1008,11.35040654,8.1,712,2699.958333,1,0,0
0.1426,11.29973224,14.97,667,4066,0,1,0
0.0788,11.90496755,16.98,727,6120.041667,0,0,0
0.1496,10.71441777,4,667,3180.041667,0,0,1
0.1114,11.00209984,11.08,722,5116,0,0,1
0.1134,11.40756495,17.25,682,3989,1,0,0
0.1221,10.20359214,10,707,2730.041667,1,0,0
0.1347,10.4341158,22.09,677,6713.041667,2,0,0
0.1324,11.83500896,9.16,662,4298,2,1,0
0.0859,10.93310697,15.49,767,6519.958333,0,0,0
0.0714,11.51292546,6.5,747,4384,0,1,0
0.0863,9.487972109,9.73,727,1559.958333,0,0,0
0.1103,10.73891524,13.04,702,8159.958333,1,0,0
0.1317,10.52277288,2.26,672,3895.958333,0,0,0
0.0894,11.60823564,7.07,797,6510.958333,1,0,0
0.1039,10.49127422,3.8,712,2760,0,0,0
0.1513,11.00209984,2.74,667,1126.958333,3,0,0
0.08,11.22524339,16.08,772,4888.958333,1,0,0
0.0863,10.81977828,2.59,797,11951,0,0,0
0.1355,11.51292546,7.94,662,1939.958333,0,0,0
0.0788,11.73606902,7.05,782,5640.041667,1,0,0
0.1229,11.26446411,8.8,672,3760.958333,0,0,0
0.0901,12.4292162,10,712,1553.958333,0,2,0
0.0743,11.08214255,0.28,802,4649.958333,1,0,0
0.1375,9.998797732,14.29,662,1318.958333,0,1,0
0.0743,12.20607265,0.28,772,4516.958333,0,0,0
0.0743,12.20607265,3.72,812,6778.958333,0,0,0
0.0807,11.51292546,2.3,742,3148.958333,0,0,0
0.1028,9.798127037,6.4,692,7469.958333,1,1,0
0.0743,11.91839057,0,777,7128.958333,0,0,0
0.0807,11.60823564,11.33,762,6059.958333,0,0,0
0.087,11.22524339,15.55,757,4770,0,0,0
0.0743,11.46163217,3.83,772,2535,0,0,0
0.0743,11.35040654,0.31,787,3540,0,0,0
0.1122,11.28978191,1.21,672,3990,3,0,0
0.0996,10.77895629,8.03,707,4320,1,0,0
0.0933,12.10071213,11.93,717,4498.958333,1,0,0
0.0807,12.10071213,5.55,742,4019,0,0,0
0.0743,11.69524702,2.29,777,3540,0,0,0
0.087,10.1266311,14.54,752,2460,1,0,0
0.1028,12.20607265,0,677,3779.958333,0,1,0
0.1122,10.30895266,18.64,702,5190,0,0,0
0.0838,11.21182037,14.37,797,5610.958333,0,0,0
0.0775,8.987196821,3,762,6659.958333,0,0,0
0.0838,10.37349118,14.78,772,4379,0,0,0
0.0901,11.19821472,9.96,722,3089.958333,0,0,0
0.0743,11.73606902,0.27,792,7488.958333,0,0,0
0.0743,10.71441777,1.12,782,5807,1,0,0
0.1028,10.217422,10.7,712,1379,0,0,0
0.1059,10.77895629,4.05,762,2729.958333,0,0,0
0.0996,9.510444964,16.44,712,1649.958333,1,0,0
0.1596,10.86283777,12.57,627,1409,1,0,0
0.1059,11.00209984,17.12,747,14008.95833,2,1,0
0.1154,9.903487553,2.04,662,1139,2,0,0
0.1343,11.88448902,10.15,682,4209.958333,0,0,1
0.1249,11.22524339,15,682,4479,3,0,0
0.0964,11.00209984,7.72,712,2293.958333,0,0,0
0.1186,11.08214255,7.14,682,8730,0,2,0
0.0743,10.59663473,2.55,772,8189.958333,2,0,0
0.1028,9.903487553,1.5,682,1410,0,0,0
0.1186,10.49551521,7.47,667,2550,2,0,0
0.0807,11.49272276,8.52,752,4979.958333,0,1,0
0.1059,10.43382164,14.47,687,1110,1,0,1
0.0996,11.26446411,11.06,702,4979.958333,0,1,0
0.0964,11.77528973,8.55,712,5940,0,0,0
0.1375,10.46310334,17.38,707,2699.958333,0,0,0
0.0775,12.32385568,6.48,752,5339.958333,1,0,0
0.0743,11.15625052,4.56,812,9809,0,0,0
0.0807,11.91839057,2.72,757,5202,4,0,0
0.0996,10.77895629,15.13,722,2640,3,0,0
0.1501,12.26904744,6.45,677,6240,0,0,1
0.0964,11.22524339,20,772,4920.958333,3,0,1
0.128,10.37349118,20,682,5492,1,0,1
0.1122,10.59663473,13.5,712,5368.958333,3,0,1
0.0743,10.59663473,3.45,772,1739.958333,0,0,0
0.087,11.15625052,6.07,712,2550,1,0,0
0.1091,9.798127037,18,707,2192,1,0,0
0.0775,11.73606902,2.14,762,8370,0,0,0
0.0775,10.81977828,5.35,762,8370,0,0,0
0.087,11.69524702,15,742,3026,1,0,0
0.0964,11.51292546,15,722,3026,1,0,0
