,int.rate,log.annual.inc,dtai,fico,days.with.cr.line,inq.last.6mths,delinq.2yrs,default
4286,0.1253,11.35035948,9.05,717,1770.0,0,0,1
6101,0.1253,11.60827201,10.97,732,5611.041667,1,0,0
2807,0.1411,11.51292546,24.34,692,13410.0,1,1,1
5011,0.1461,10.81977828,10.01,692,2759.958333,0,0,0
8621,0.145,11.12726298,24.16,662,5370.0,1,0,1
7082,0.1311,9.61580548,19.04,672,1950.0416670000002,0,0,0
420,0.133,10.81977828,20.42,692,7710.0,2,1,0
292,0.1122,9.893437217,23.03,717,2580.0,0,0,1
6209,0.1183,11.23848862,3.44,707,3330.041667,0,0,0
3835,0.1565,11.08214255,11.94,712,6897.0,0,0,1
1791,0.1095,11.14186178,7.1,732,3180.0,1,0,0
2792,0.1189,11.15625052,7.23,722,2249.958333,0,0,0
5626,0.1148,10.81977828,12.03,712,4170.0,1,0,0
1099,0.1103,11.35040654,21.91,717,5189.958333,2,0,0
419,0.0775,11.00209984,9.2,797,6270.0,0,0,0
1862,0.1221,11.19766662,14.97,732,6360.041667,2,0,0
1408,0.102,11.15619338,8.21,732,3070.0,3,0,0
3721,0.1218,11.00209984,24.7,712,2217.0,1,0,0
6162,0.0774,11.184421400000002,3.42,777,9570.041667,0,0,0
5961,0.1461,11.95761129,7.83,682,5730.0,2,0,0
4652,0.0859,9.903687533,8.7,747,4289.958333,0,0,1
6838,0.1461,10.96819829,12.95,667,11070.04167,3,0,1
7992,0.1059,11.05089001,17.89,682,5279.041667,8,0,0
1632,0.1336,10.85892207,18.19,682,3360.041667,1,0,0
7372,0.1496,11.40756495,17.6,667,6990.0,0,0,0
4504,0.0894,11.15625052,13.63,762,4889.958333,3,0,0
6822,0.16699999999999998,11.42954386,6.89,692,5403.0,1,0,0
4066,0.1189,10.30895266,18.2,732,1800.0,0,0,1
6792,0.1114,11.28978191,11.07,722,4800.0,1,0,0
9154,0.1158,10.71441777,21.87,712,2610.0,4,0,0
4476,0.16,10.20359214,8.89,677,2009.9583329999998,0,0,0
8875,0.1189,11.28978191,19.63,722,8910.041667,4,0,0
5049,0.1357,11.05089001,24.4,697,4201.958333,1,0,0
3089,0.1379,11.65268741,16.57,687,3329.958333,0,0,0
2081,0.08,11.95969885,0.18,797,12153.04167,2,0,0
4682,0.1253,10.53900562,24.27,712,2039.9583329999998,0,0,1
8011,0.087,10.20359214,0.93,717,300.0,1,0,0
1744,0.0963,11.91839057,7.47,737,6150.0,0,0,0
4329,0.1322,8.29404964,6.0,697,1140.0,2,0,0
7000,0.1357,11.30958454,8.71,762,3244.0,1,0,0
8751,0.1191,11.60827201,8.44,672,4259.958333,4,0,0
8313,0.1608,11.71888216,25.27,672,3930.041667,0,0,0
5372,0.0774,11.28499548,2.19,797,7259.958333,0,0,0
6180,0.1635,11.322249099999999,14.33,707,5490.0,0,0,0
2973,0.1411,11.05089001,22.67,702,3150.0,0,0,0
7602,0.0788,10.76848499,11.7,737,3390.0,0,0,0
4592,0.1392,10.30895266,15.92,692,4319.958333,3,0,0
9060,0.1316,11.26446411,15.83,697,3359.958333,4,0,0
4406,0.1183,10.62609644,10.75,727,3209.958333,2,0,0
7997,0.1438,10.91508846,12.87,642,3242.0,13,0,0
9199,0.1442,11.0806029,24.73,682,4289.958333,7,0,0
8987,0.1347,10.96819829,21.27,737,8069.958333,7,0,1
1361,0.0907,11.00209984,4.86,752,7626.958333,1,0,0
9388,0.1287,10.93310697,16.22,712,6450.0,5,0,0
8156,0.133,10.12502982,0.96,652,180.04166669999998,1,0,1
3787,0.1126,11.3736634,10.41,747,3900.958333,3,0,0
8035,0.1249,10.59663473,0.45,667,810.0416667000001,1,0,0
1800,0.0932,11.03488966,8.52,797,4050.0,0,0,0
